
# From file: Bankintegration/etc/config.xml
# From file: Bankintegration/Block/Upload/Edit/Renderer.php
"Upload and process","Upload and process"
"Current banktemplate","Current banktemplate"

# From file: Bankintegration/Block/Upload/Edit.php
"Upload and process new bankdata","Upload and process new bankdata"

# From file: Bankintegration/controllers/BindController.php
"Status changed.","Status changed."
"Bankdata succesfully submitted.","Bankdata succesfully submitted."
"Bankdata successfully coupled.","Bankdata successfully coupled."

# From file: Bankintegration/controllers/ReviewController.php
"Manual payment added.","Manual payment added."
"Status changed","Status changed"
"Order uncoupled.","Order uncoupled."
"Please select one or more items","Please select one or more items"

# From file: Bankintegration/controllers/RulesController.php
"Filter entry deleted","Filter entry deleted"
"Filter entry saved","Filter entry saved"

# From file: Bankintegration/controllers/SettingsController.php
"Order status rule added.","Order status rule added."
"Order status rule deleted.","Order status rule deleted."
"All settings succesfully saved.","All settings succesfully saved."

# From file: Bankintegration/controllers/UploadController.php
"An error occurred while uploading the bankdata.","An error occurred while uploading the bankdata."
"Bankdata successfully uploaded.","Bankdata successfully uploaded."

# From file: Bankintegration/Model/Enable.php
"Disabled","Disabled"
"Enabled","Enabled"

# From file: Bankintegration/Model/Settings.php
